bidder_id,bid_merchandise,bid_country,bid_url,total_bids,total_auctions,total_merchandises,total_devices,total_countries,total_ips,total_urls,max_bids,max_auctions,max_merchandises,max_devices,max_countries,max_ips,max_urls,bid_freq,auction_freq,device_freq,country_freq,ip_freq,url_freq,url_auction,ip_merchandise,url_merchandise,ip_device,url_device,ip_country,url_country,max_bid_in_merchandise,min_bid_in_merchandise,max_bid_in_device,max_bid_in_country,max_bid_in_url,outcome
20ebb9de648c6df989f04d07cf273c7b3yu8c                           ,1523,1523,1523,1523,23,1,1,1,1,1,3,3,1,1,1,1,1,21.12,25.31,28.44,28.44,28.44,28.44,0.04,1,1,1,1,1,1,1523,1523,1523,1523,1523,0
8b4071f3e2702b88481054081363bc15her3f                           ,1466,1466,1466,1466,23,1,1,1,1,1,3,3,1,1,1,1,1,21.13,25.29,28.42,28.42,28.42,28.42,0.04,1,1,1,1,1,1,1466,1466,1466,1466,1466,0
4cd52ae88da3e30dbe01da5048151c98p4f0v                           ,1464,1464,1464,1464,24,1,1,1,1,1,2,2,1,1,1,1,1,21.12,25.23,28.41,28.41,28.41,28.41,0.04,1,1,1,1,1,1,1464,1464,1464,1464,1464,0
c600968815fc32b20e0519ecfce5b648en2wo                           ,250,83.33,83.33,250,22,1,6,3,3,3,2,2,1,1,1,1,2,22.92,25.35,26.65,27.34,27.34,27.34,0.14,3,3,0.5,0.5,1,1,250,250,102,102,236,1
cf22da37578048d2e51eca1e544c693cke5t3                           ,60,30,10,60,9,1,3,2,2,6,1,1,1,1,1,1,1,21.97,23.87,24.97,25.37,25.37,24.27,0.67,2,6,0.67,2,1,3,60,60,58,58,23,0
40e00fd204d0ce97110032bfc47f423d0bgrd                           ,51,25.5,2.43,51,6,1,2,2,2,21,1,1,1,1,1,1,1,23.45,25.59,26.69,26.69,26.69,24.34,3.5,2,21,1,10.5,1,10.5,51,51,33,33,4,1
5b0665172160ea4015e79dfbcfa7ed86oe0mc                           ,64,21.33,32,64,10,1,4,3,3,2,2,2,1,1,1,1,1,24.69,26.55,27.46,27.75,27.75,28.15,0.2,3,2,0.75,0.5,1,0.67,64,64,50,62,63,0
d79919e5ba11f26bce5e70f0a4f859e3e4q9y                           ,1915,1915,147.31,1915,58,1,83,1,188,13,2,2,1,2,1,2,1,21.78,25.28,24.92,29.34,24.11,26.78,0.22,188,13,2.27,0.16,188,13,1915,1915,813,1915,1871,0
ec6d3fbd8408ba43891370d4ffe41eabhnwbs                           ,6,6,1.5,6,1,1,1,1,1,4,1,1,1,1,1,1,1,26.79,28.58,28.58,28.58,28.58,27.2,4,1,4,1,4,1,4,6,6,6,6,2,0
8b253bd318229b3eea3f459bd81b8347khytb                           ,172,172,3.13,172,20,1,47,1,29,55,2,2,1,2,1,2,2,24.14,26.29,25.43,29.29,25.92,25.28,2.75,29,55,0.62,1.17,29,55,172,172,61,172,106,0
21f5b103136104e4947e293983dbaa5b4tder                           ,4605,80.79,1.56,4605,204,1,242,57,788,2947,3,3,1,3,3,3,3,20.91,24.02,23.85,25.3,22.67,21.35,14.45,788,2947,3.26,12.18,13.82,51.7,4605,4605,1089,3031,212,0
b0164d9a18a3cdf6082e96f9708040690qcqf                           ,91,11.38,30.33,91,42,1,63,8,16,3,1,1,1,1,1,1,1,24.83,25.6,25.2,27.26,26.57,28.24,0.07,16,3,0.25,0.05,2,0.38,91,91,4,22,68,0
27cc072f1432f7aec4b7e17cf2e473f2x3bjg                           ,186,26.57,9.79,186,34,1,19,7,34,19,1,1,1,1,1,1,1,24.07,25.77,26.35,27.35,25.77,26.35,0.56,34,19,1.79,1,4.86,2.71,186,186,158,157,157,0
